contact_id,full_name,email,company,title,lifecycle_stage,source,country,created_at,last_activity_at
cli_0013_ct_0001,Ishaan Verma,ishaan.verma0@examplemail.com,Peak Group,Sales Lead,churn_risk,website_form,United States,2026-03-29,2026-02-27
cli_0013_ct_0002,Arjun Gupta,arjun.gupta1@examplemail.com,Orbit LLC,Marketing Manager,customer,import,United Kingdom,2025-06-30,2026-01-17
cli_0013_ct_0003,Mia Sharma,mia.sharma2@examplemail.com,Orbit Ltd,RevOps Manager,sql,website_form,United Kingdom,2026-03-02,2026-04-22
cli_0013_ct_0004,Mia Bhatia,mia.bhatia3@examplemail.com,Acme LLC,RevOps Manager,customer,import,India,2025-02-01,2026-04-07
cli_0013_ct_0005,Mia Bhatia,mia.bhatia4@examplemail.com,Urban Works,Founder,sql,website_form,United Kingdom,2024-11-07,2025-12-27
cli_0013_ct_0006,Noah Patel,noah.patel5@examplemail.com,Metro Ltd,Head of Growth,lead,website_form,United Kingdom,2024-12-05,2026-02-04
cli_0013_ct_0007,Zara Mehta,zara.mehta6@examplemail.com,Peak Group,Marketing Manager,lead,website_form,Canada,2026-01-28,2026-01-08
cli_0013_ct_0008,Mia Gupta,mia.gupta7@examplemail.com,Zen LLC,Founder,lead,import,United States,2025-07-11,2026-04-02
cli_0013_ct_0009,Ishaan Kapoor,ishaan.kapoor8@examplemail.com,Zen Inc,Founder,mql,website_form,UAE,2024-11-05,2026-03-09
cli_0013_ct_0010,Sara Sharma,sara.sharma9@examplemail.com,Urban Works,RevOps Manager,lead,website_form,United States,2026-04-05,2026-02-09
cli_0013_ct_0011,Liam Singh,liam.singh10@examplemail.com,Urban Works,RevOps Manager,lead,import,UAE,2025-08-11,2026-02-28
cli_0013_ct_0012,Liam Gupta,liam.gupta11@examplemail.com,Urban Works,Head of Growth,churn_risk,import,United States,2025-12-08,2026-01-06
cli_0013_ct_0013,Zara Singh,zara.singh12@examplemail.com,Acme Inc,RevOps Manager,lead,import,India,2026-03-15,2026-02-28
cli_0013_ct_0014,Arjun Gupta,arjun.gupta13@examplemail.com,Acme Group,Head of Growth,mql,import,Canada,2025-01-19,2026-02-02
cli_0013_ct_0015,Mia Reddy,mia.reddy14@examplemail.com,Urban Works,Marketing Manager,lead,email_reply,Australia,2026-04-17,2026-04-13
cli_0013_ct_0016,Zara Sharma,zara.sharma15@examplemail.com,Urban Works,RevOps Manager,lead,referral,Canada,2025-09-21,2026-04-22
cli_0013_ct_0017,Ishaan Patel,ishaan.patel16@examplemail.com,Peak Inc,Sales Lead,mql,import,Canada,2025-03-27,2026-01-27
cli_0013_ct_0018,Anika Kapoor,anika.kapoor17@examplemail.com,Acme Inc,Sales Lead,lead,email_reply,Canada,2025-08-30,2026-01-18
cli_0013_ct_0019,Noah Gupta,noah.gupta18@examplemail.com,Acme Inc,Marketing Manager,churn_risk,referral,Canada,2025-05-26,2026-02-05
cli_0013_ct_0020,Ava Verma,ava.verma19@examplemail.com,Urban Works,Head of Growth,lead,referral,Canada,2024-12-07,2026-04-17
cli_0013_ct_0021,Leo Reddy,leo.reddy20@examplemail.com,Metro Inc,Sales Lead,customer,website_form,India,2026-02-11,2026-03-01
cli_0013_ct_0022,Sara Gupta,sara.gupta21@examplemail.com,Metro Group,RevOps Manager,lead,import,UAE,2026-01-02,2026-01-29
cli_0013_ct_0023,Ava Nair,ava.nair22@examplemail.com,Urban Works,Founder,sql,website_form,UAE,2025-05-07,2026-03-20
cli_0013_ct_0024,Arjun Nair,arjun.nair23@examplemail.com,Acme Inc,Marketing Manager,lead,event,Canada,2025-01-26,2026-03-05
cli_0013_ct_0025,Ava Kapoor,ava.kapoor24@examplemail.com,Urban Works,RevOps Manager,lead,website_form,United States,2026-01-30,2026-03-19
cli_0013_ct_0026,Ava Khan,ava.khan25@examplemail.com,Urban Works,Sales Lead,sql,event,India,2024-12-25,2026-04-07
