deal_id,contact_id,deal_name,stage,amount,currency,probability,source,owner,created_at,close_date
cli_0016_dl_0001,cli_0016_ct_0034,Blue Commerce - annual subscription,lost,23400.92,SGD,35,website_form,Noah Sharma,2025-12-23,2026-02-19
cli_0016_dl_0002,cli_0016_ct_0043,Blue Commerce - pro plan,proposal,15731.38,SGD,13,website_form,Kabir Nair,2025-10-31,2025-11-04
cli_0016_dl_0003,cli_0016_ct_0085,Blue Commerce - annual subscription,qualified,9617.71,SGD,70,referral,Arjun Mehta,2026-02-23,2026-04-16
cli_0016_dl_0004,cli_0016_ct_0026,Blue Commerce - annual subscription,qualified,4689.07,SGD,43,referral,Liam Singh,2026-03-16,2026-04-21
cli_0016_dl_0005,cli_0016_ct_0074,Blue Commerce - starter plan,won,7864.4,SGD,37,import,Noah Nair,2025-10-20,2025-11-02
cli_0016_dl_0006,cli_0016_ct_0068,Blue Commerce - membership,qualified,19894.24,SGD,21,event,Ishaan Singh,2026-02-11,2026-03-14
cli_0016_dl_0007,cli_0016_ct_0101,Blue Commerce - membership,won,10971.4,SGD,45,referral,Sara Reddy,2025-10-06,2025-11-18
cli_0016_dl_0008,cli_0016_ct_0059,Blue Commerce - premium bundle,lost,10808.09,SGD,27,import,Kabir Mehta,2025-12-24,2026-02-12
cli_0016_dl_0009,cli_0016_ct_0078,Blue Commerce - annual subscription,proposal,14539.24,SGD,55,email_reply,Leo Nair,2026-02-26,2026-04-23
cli_0016_dl_0010,cli_0016_ct_0022,Blue Commerce - starter plan,qualified,18916.75,SGD,52,referral,Leo Bhatia,2025-11-12,2025-11-26
cli_0016_dl_0011,cli_0016_ct_0016,Blue Commerce - premium bundle,won,16232.4,SGD,33,import,Anika Bhatia,2026-01-22,2026-02-12
cli_0016_dl_0012,cli_0016_ct_0055,Blue Commerce - starter plan,won,8851.52,SGD,34,email_reply,Sara Joshi,2025-10-04,2025-11-28
cli_0016_dl_0013,cli_0016_ct_0074,Blue Commerce - service retainer,won,20363.62,SGD,41,import,Kabir Joshi,2025-11-16,2026-01-07
cli_0016_dl_0014,cli_0016_ct_0024,Blue Commerce - audit package,qualified,16462.08,SGD,61,email_reply,Liam Patel,2026-01-28,2026-02-17
cli_0016_dl_0015,cli_0016_ct_0013,Blue Commerce - membership,won,15150.23,SGD,63,email_reply,Liam Sharma,2025-12-26,2026-02-01
cli_0016_dl_0016,cli_0016_ct_0037,Blue Commerce - service retainer,new,13153.05,SGD,88,import,Noah Nair,2026-03-23,2026-04-11
cli_0016_dl_0017,cli_0016_ct_0067,Blue Commerce - annual subscription,proposal,7163.47,SGD,32,website_form,Noah Reddy,2025-11-06,2025-11-28
cli_0016_dl_0018,cli_0016_ct_0068,Blue Commerce - annual subscription,won,14911.92,SGD,78,event,Kabir Joshi,2025-10-27,2025-12-18
cli_0016_dl_0019,cli_0016_ct_0045,Blue Commerce - pro plan,qualified,12435.22,SGD,59,website_form,Ishaan Nair,2025-12-28,2026-02-02
