invoice_id,invoice_date,due_date,currency,amount,status,customer_name,line_items
cli_0013_inv_0001,2026-01-19,2026-04-22,EUR,5711.9,paid,Mia Mehta,support; creative work
cli_0013_inv_0002,2025-12-05,2026-05-22,EUR,4613.02,overdue,Noah Reddy,support
cli_0013_inv_0003,2026-03-11,2026-04-17,EUR,5371.13,paid,Anika Verma,consulting
cli_0013_inv_0004,2025-12-02,2026-05-08,EUR,3112.78,paid,Anika Nair,media spend; support; consulting
cli_0013_inv_0005,2026-03-10,2026-03-31,EUR,6675.06,open,Ishaan Nair,media spend
cli_0013_inv_0006,2026-03-18,2026-04-02,EUR,7476.57,paid,Noah Joshi,consulting; setup fee; media spend
cli_0013_inv_0007,2026-01-31,2026-04-15,EUR,5791.22,paid,Leo Bhatia,support
cli_0013_inv_0008,2026-03-10,2026-05-13,EUR,9979.3,paid,Noah Sharma,setup fee; strategy work
cli_0013_inv_0009,2026-01-20,2026-03-25,EUR,11822.93,open,Sara Joshi,support; creative work; media spend
cli_0013_inv_0010,2025-11-15,2026-05-20,EUR,11402.72,paid,Sara Singh,support; media spend
cli_0013_inv_0011,2026-02-05,2026-05-08,EUR,4454.07,paid,Arjun Mehta,strategy work
cli_0013_inv_0012,2026-03-27,2026-04-14,EUR,1674.76,open,Anika Bhatia,consulting; media spend
cli_0013_inv_0013,2026-02-24,2026-05-29,EUR,638.94,paid,Kabir Bhatia,support; setup fee
cli_0013_inv_0014,2025-12-03,2026-05-02,EUR,11740.76,paid,Anika Kapoor,strategy work; setup fee
cli_0013_inv_0015,2025-11-29,2026-05-06,EUR,9820.89,paid,Ava Singh,media spend; consulting; creative work
cli_0013_inv_0016,2026-04-12,2026-05-13,EUR,4514.9,open,Ava Gupta,consulting
cli_0013_inv_0017,2026-02-19,2026-06-04,EUR,260.23,paid,Ishaan Singh,strategy work; support
cli_0013_inv_0018,2026-01-16,2026-04-13,EUR,7226.31,paid,Mia Kapoor,setup fee; consulting
cli_0013_inv_0019,2026-03-08,2026-06-06,EUR,5679.72,paid,Ishaan Kapoor,media spend; consulting
cli_0013_inv_0020,2025-12-17,2026-05-04,EUR,2327.62,paid,Maya Nair,strategy work; consulting
cli_0013_inv_0021,2026-03-19,2026-04-19,EUR,10215.3,overdue,Arjun Reddy,strategy work; setup fee
cli_0013_inv_0022,2026-04-22,2026-06-05,EUR,11109.66,paid,Leo Kapoor,creative work; media spend; strategy work
cli_0013_inv_0023,2025-11-09,2026-04-10,EUR,7012.23,paid,Ava Bhatia,consulting
cli_0013_inv_0024,2026-01-06,2026-04-24,EUR,9979.55,paid,Noah Nair,consulting; strategy work
cli_0013_inv_0025,2026-03-03,2026-05-19,EUR,4567.52,open,Arjun Gupta,media spend; creative work; support
cli_0013_inv_0026,2025-11-08,2026-04-24,EUR,547.81,paid,Noah Patel,support
