invoice_id,invoice_date,due_date,currency,amount,status,customer_name,line_items
cli_0015_inv_0001,2025-12-10,2026-04-14,EUR,11558.39,paid,Anika Gupta,media spend
cli_0015_inv_0002,2025-11-20,2026-04-13,EUR,3259.69,paid,Sara Reddy,media spend; creative work
cli_0015_inv_0003,2026-01-22,2026-04-06,EUR,378.12,open,Sara Joshi,consulting
cli_0015_inv_0004,2026-02-23,2026-04-04,EUR,2968.13,overdue,Ava Verma,media spend
cli_0015_inv_0005,2026-03-24,2026-04-24,EUR,2721.01,paid,Zara Joshi,support
cli_0015_inv_0006,2025-11-28,2026-04-27,EUR,11318.23,overdue,Liam Sharma,strategy work; media spend; consulting
cli_0015_inv_0007,2025-11-21,2026-04-11,EUR,5395.11,paid,Noah Joshi,creative work
cli_0015_inv_0008,2025-10-29,2026-05-16,EUR,5606.59,paid,Zara Nair,setup fee; strategy work
cli_0015_inv_0009,2026-03-08,2026-04-15,EUR,4674.33,paid,Ishaan Sharma,strategy work; setup fee
cli_0015_inv_0010,2025-12-25,2026-04-26,EUR,9294.66,paid,Liam Sharma,consulting; strategy work
cli_0015_inv_0011,2025-12-06,2026-05-06,EUR,8678.88,paid,Kabir Gupta,setup fee; strategy work
cli_0015_inv_0012,2026-03-04,2026-06-02,EUR,6581.04,paid,Ava Gupta,support
cli_0015_inv_0013,2025-11-01,2026-05-24,EUR,1830.77,paid,Arjun Verma,support; creative work
cli_0015_inv_0014,2026-04-10,2026-04-15,EUR,5541.1,paid,Anika Singh,consulting; setup fee; support
cli_0015_inv_0015,2026-04-05,2026-04-15,EUR,4570.62,overdue,Sara Nair,setup fee; creative work; media spend
cli_0015_inv_0016,2025-12-17,2026-04-07,EUR,354.52,paid,Noah Nair,media spend; support; consulting
cli_0015_inv_0017,2026-04-24,2026-05-13,EUR,8836.9,paid,Ishaan Nair,strategy work; support
cli_0015_inv_0018,2025-11-04,2026-04-26,EUR,6523.26,open,Ishaan Gupta,creative work; setup fee; support
cli_0015_inv_0019,2025-11-24,2026-04-28,EUR,1802.16,paid,Sara Reddy,consulting; strategy work
cli_0015_inv_0020,2026-03-29,2026-05-20,EUR,10255.88,open,Anika Singh,creative work
cli_0015_inv_0021,2026-01-13,2026-05-09,EUR,8227.46,paid,Ishaan Verma,creative work; support
cli_0015_inv_0022,2025-11-14,2026-04-17,EUR,5955.56,paid,Anika Bhatia,setup fee; consulting
cli_0015_inv_0023,2026-03-29,2026-03-25,EUR,6069.87,paid,Zara Singh,creative work; media spend; strategy work
cli_0015_inv_0024,2026-01-31,2026-04-02,EUR,7396.65,open,Leo Kapoor,setup fee
cli_0015_inv_0025,2026-03-12,2026-03-27,EUR,5640.33,paid,Anika Kapoor,strategy work
cli_0015_inv_0026,2026-04-05,2026-04-29,EUR,408.17,paid,Ishaan Singh,consulting; setup fee
cli_0015_inv_0027,2026-02-22,2026-05-22,EUR,6102.0,open,Mia Verma,consulting; support; creative work
cli_0015_inv_0028,2026-02-16,2026-04-16,EUR,9188.98,open,Ishaan Nair,support; strategy work
